name;code
"Medizinhistorikerin";"014.005.014.016"
"Neuphilologin";"014.005.026.010"
"Russist";"014.008.001.003.001"
"Russistin";"014.005.026.025.002"
"Rennfahrerin";"023.005.002"
"Buddhismuskundler";"014.039.002"
"Buddhologe";"014.039.002"
"Buddhismuskundlerin";"014.005.012.001.001"
"Buddhologin";"014.005.012.001.001"
"Weibliche Theaterschaffende";"002.006"
"Stanz- und Umformmechaniker";"033.005.031.047"
"Gamedesigner";"037.003"
"Spieledesigner";"037.003"
"Spieleentwickler";"037.003"
"Falknerin";"013.003.004.001"
"Bauforscherin";"014.005.007"
"Physikunterricht / Lehrerin";"016.007.004"
"Physiklehrerin";"016.007.004"
"Kindheitspädagoge";"016.009.001"
"Kindheitspädagogin";"016.015.002"
"Sanglier <Beruf>";"033.005.014"
"Arbeitswissenschaftlerin";"014.005.006"
"Fachreferentin";"029.005"
"Marktforscherin";"018.004"
"Lusitanistin";"014.005.026.017.005"
"Lusitanistin";"014.005.026.007.002"
"Stallbursche";"002.023.001"
"Stallknecht";"002.023.001"
"Pferdepfleger";"002.023.001"
"Mosaik <Handwerkerin>";"005.002.006"
"Mosaik <Handwerkerin>";"005.002.005.001"
"Mosaik <Handwerkerin>";"033.201.105.122"
"Mosaik <Künstlerin>";"005.002.006"
"Mosaik <Künstlerin>";"005.002.005.001"
"Mosaik <Künstlerin>";"033.201.105.122"
"Mosaikkünstlerin";"005.002.006"
"Mosaikkünstlerin";"005.002.005.001"
"Mosaikkünstlerin";"033.201.105.122"
"Mosaizistin";"005.002.006"
"Mosaizistin";"005.002.005.001"
"Mosaizistin";"033.201.105.122"
"Gerichtsschreiberin";"003.015.002"
"Schulpsychologin";"014.005.027.003"
"Medienberaterin";"018.132.001"
"Arbeitsagoge";"016.011.002"
"Arbeitsagogin";"016.025.001"
"Internatsschülerin";"016.021.005"
"Klimaforscher";"014.001.003"
"Klimatologe";"014.001.003"
"Notenstecherin";"006.012.009.001"
"Musikdruckerin";"006.012.009.001"
"Kulturwirtin";"029.006"
"Wirtschaftsmathematiker";"014.003.005"
"Wirtschaftsmathematikerin";"014.013.006"
"Krippenbauerin";"033.001.001"
"Krippenbauerin";"027.001"
"Krippenschnitzerin";"033.001.001"
"Krippenschnitzerin";"027.001"
"Holzschnitzerin";"005.002.002.001.001"
"Klimaforscherin";"014.001.010"
"Klimatologin";"014.001.010"
"Bilderbuchautorin";"003.011.007"
"Erzbischöfin";"010.060.001"
"Erzbischöfin";"020.012.008.001"
"Photolaborantin";"014.015.002"
"Fotolaborantin";"014.015.002"
"Kleindarstellerin";"002.054.002.592"
"Komparsin";"002.054.002.592"
"Statistin";"002.054.002.592"
"Dompteuse";"002.035.003"
"Dompteurin";"002.035.003"
"Tanzwissenschaftler";"014.602"
"Tanzwissenschaftlerin";"014.005.033"
"Tanzwissenschaftlerin";"014.044"
"Tourismusforscher";"014.606"
"Tourismusforscherin";"014.046"
"Tourismusforscherin";"014.005.035"
"Reiseautor";"003.002.003"
"Reisebuchautor";"003.002.003"
"Reiseautorin";"003.011.005"
"Reisebuchautorin";"003.011.005"
"Molekularbiologin";"014.005.024.001.001"
"Molekularbiologin";"014.040.026.005"
"Agrarökonom";"013.001.002"
"Bodenwissenschaftler";"014.001.009"
"Pedologe";"014.001.009"
"Bodenkundler";"014.001.009"
"Bodenwissenschaftlerin";"014.001.011"
"Pedologin";"014.001.011"
"Bodenkundlerin";"014.001.011"
"Materialwissenschaftler";"014.001.012"
"Werkstoffkundler";"014.001.012"
"Werkstofftechniker";"014.001.012"
"Werkstoffwissenschaftler";"014.001.012"
"Materialwissenschaftlerin";"014.001.013"
"Werkstoffkundlerin";"014.001.013"
"Werkstofftechnikerin";"014.001.013"
"Werkstoffwissenschaftlerin";"014.001.013"
"Aulosbläser";"011.009"
"Aulosspieler";"011.009"
"Aulet";"011.009"
"Orthodoxer Christ";"020.007.002"
"Fachkraft für Metalltechnik";"007.521"
"Hebraistin";"014.005.026.001.009"
"Biophysikerin";"014.040.026.002"
"Biophysikerin";"014.005.024.001.002"
"Biophysikerin";"014.005.024.005.003"
"Biophysikerin";"014.040.030.002"
"Bühnenkünstlerin <Darstellende Kunst>";"002.054.003"
"Bühnenkünstlerin <Kleinkunst>";"002.054.003"
"Varieteekünstlerin";"002.054.003"
"Varietékünstlerin";"002.054.003"
"Schwertschlucker";"002.008.005"
"Chaisenträger";"018.070.001"
"Sänftenträger";"018.070.001"
"Philosophielehrer";"016.006.052"
"Philosophielehrerin";"016.007.031"
"Tischtennisspielerin";"023.005.014.001"
"Modelleurin";"033.201.162"
"Dorfvorsteherin";"010.072.001"
"Gemeindevorsteherin";"010.072.001"
"Ortsvorsteherin";"010.072.001"
"Diplombibliothekarin";"016.017.008"
"Medienlehrerin";"016.015.003"
"Medienlehrerin";"018.005"
